PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FareNew,FareGroup,AgeGroup
1059,0,3,0,18.0,2,2,34.375,S,5,34,30-40,Teenager
1060,1,1,1,27.0,0,0,27.7208,C,1,28,20-30,Young Adult
1061,1,3,1,22.0,0,0,8.9625,S,1,9,0-10,Young Adult
1062,0,3,0,27.0,0,0,7.55,S,1,8,0-10,Young Adult
1063,0,3,0,27.0,0,0,7.225,C,1,7,0-10,Young Adult
1064,0,3,0,23.0,1,0,13.9,S,2,14,10-20,Young Adult
1065,0,3,0,27.0,0,0,7.2292,C,1,7,0-10,Young Adult
1066,0,3,0,40.0,1,5,31.3875,S,7,31,30-40,Adult
1067,1,2,1,15.0,0,2,39.0,S,3,39,30-40,Teenager
1068,1,2,1,20.0,0,0,36.75,S,1,37,30-40,Young Adult
1069,0,1,0,54.0,1,0,55.4417,C,2,55,50-100,Senior
1070,1,2,1,36.0,0,3,39.0,S,4,39,30-40,Adult
1071,1,1,1,64.0,0,2,83.1583,C,3,83,50-100,Senior
1072,0,2,0,30.0,0,0,13.0,S,1,13,10-20,Young Adult
1073,0,1,0,37.0,1,1,83.1583,C,3,83,50-100,Adult
1074,1,1,1,18.0,1,0,53.1,S,2,53,50-100,Teenager
1075,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1076,1,1,1,27.0,1,1,247.5208,C,3,248,>100,Young Adult
1077,0,2,0,40.0,0,0,16.0,S,1,16,10-20,Adult
1078,1,2,1,21.0,0,1,21.0,S,2,21,20-30,Young Adult
1079,0,3,0,17.0,2,0,8.05,S,3,8,0-10,Teenager
1080,1,3,1,27.0,8,2,69.55,S,11,70,50-100,Young Adult
1081,0,2,0,40.0,0,0,13.0,S,1,13,10-20,Adult
1082,0,2,0,34.0,1,0,26.0,S,2,26,20-30,Adult
1083,0,1,0,27.0,0,0,26.0,S,1,26,20-30,Young Adult
1084,0,3,0,11.5,1,1,14.5,S,3,14,10-20,Child
1085,0,2,0,61.0,0,0,12.35,Q,1,12,10-20,Senior
1086,0,2,0,8.0,0,2,32.5,S,3,32,30-40,Child
1087,0,3,0,33.0,0,0,7.8542,S,1,8,0-10,Adult
1088,0,1,0,6.0,0,2,134.5,C,3,134,>100,Child
1089,1,3,1,18.0,0,0,7.775,S,1,8,0-10,Teenager
1090,0,2,0,23.0,0,0,10.5,S,1,10,0-10,Young Adult
1091,1,3,1,27.0,0,0,8.1125,S,1,8,0-10,Young Adult
1092,1,3,1,27.0,0,0,15.5,Q,1,16,10-20,Young Adult
1093,0,3,0,0.33,0,2,14.4,S,3,14,10-20,Child
1094,0,1,0,47.0,1,0,227.525,C,2,228,>100,Adult
1095,1,2,1,8.0,1,1,26.0,S,3,26,20-30,Child
1096,0,2,0,25.0,0,0,10.5,S,1,10,0-10,Young Adult
1097,0,1,0,27.0,0,0,25.7417,C,1,26,20-30,Young Adult
1098,1,3,1,35.0,0,0,7.75,Q,1,8,0-10,Adult
1099,0,2,0,24.0,0,0,10.5,S,1,10,0-10,Young Adult
1100,1,1,1,33.0,0,0,27.7208,C,1,28,20-30,Adult
1101,0,3,0,25.0,0,0,7.8958,S,1,8,0-10,Young Adult
1102,0,3,0,32.0,0,0,22.525,S,1,23,20-30,Adult
1103,0,3,0,27.0,0,0,7.05,S,1,7,0-10,Young Adult
1104,0,2,0,17.0,0,0,73.5,S,1,74,50-100,Teenager
1105,1,2,1,60.0,1,0,26.0,S,2,26,20-30,Senior
1106,1,3,1,38.0,4,2,7.775,S,7,8,0-10,Adult
1107,0,1,0,42.0,0,0,42.5,S,1,42,40-50,Adult
1108,1,3,1,27.0,0,0,7.8792,Q,1,8,0-10,Young Adult
1109,0,1,0,57.0,1,1,164.8667,S,3,165,>100,Senior
1110,1,1,1,50.0,1,1,211.5,C,3,212,>100,Adult
1111,0,3,0,27.0,0,0,8.05,S,1,8,0-10,Young Adult
1112,1,2,1,30.0,1,0,13.8583,C,2,14,10-20,Young Adult
1113,0,3,0,21.0,0,0,8.05,S,1,8,0-10,Young Adult
1114,1,2,1,22.0,0,0,10.5,S,1,10,0-10,Young Adult
1115,0,3,0,21.0,0,0,7.7958,S,1,8,0-10,Young Adult
1116,1,1,1,53.0,0,0,27.4458,C,1,27,20-30,Senior
1117,1,3,1,27.0,0,2,15.2458,C,3,15,10-20,Young Adult
1118,0,3,0,23.0,0,0,7.7958,S,1,8,0-10,Young Adult
1119,1,3,1,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1120,0,3,0,40.5,0,0,15.1,S,1,15,10-20,Adult
1121,0,2,0,36.0,0,0,13.0,S,1,13,10-20,Adult
1122,0,2,0,14.0,0,0,65.0,S,1,65,50-100,Teenager
1123,1,1,1,21.0,0,0,26.55,S,1,27,20-30,Young Adult
1124,0,3,0,21.0,1,0,6.4958,S,2,6,0-10,Young Adult
1125,0,3,0,27.0,0,0,7.8792,Q,1,8,0-10,Young Adult
1126,0,1,0,39.0,1,0,71.2833,C,2,71,50-100,Adult
1127,0,3,0,20.0,0,0,7.8542,S,1,8,0-10,Young Adult
1128,0,1,0,64.0,1,0,75.25,C,2,75,50-100,Senior
1129,0,3,0,20.0,0,0,7.225,C,1,7,0-10,Young Adult
1130,1,2,1,18.0,1,1,13.0,S,3,13,10-20,Teenager
1131,1,1,1,48.0,1,0,106.425,C,2,106,>100,Adult
1132,1,1,1,55.0,0,0,27.7208,C,1,28,20-30,Senior
1133,1,2,1,45.0,0,2,30.0,S,3,30,20-30,Adult
1134,0,1,0,45.0,1,1,134.5,C,3,134,>100,Adult
1135,0,3,0,27.0,0,0,7.8875,S,1,8,0-10,Young Adult
1136,0,3,0,27.0,1,2,23.45,S,4,23,20-30,Young Adult
1137,0,1,0,41.0,1,0,51.8625,S,2,52,50-100,Adult
1138,1,2,1,22.0,0,0,21.0,S,1,21,20-30,Young Adult
1139,0,2,0,42.0,1,1,32.5,S,3,32,30-40,Adult
1140,1,2,1,29.0,1,0,26.0,S,2,26,20-30,Young Adult
1141,1,3,1,27.0,1,0,14.4542,C,2,14,10-20,Young Adult
1142,1,2,1,0.92,1,2,27.75,S,4,28,20-30,Child
1143,0,3,0,20.0,0,0,7.925,S,1,8,0-10,Young Adult
1144,0,1,0,27.0,1,0,136.7792,C,2,137,>100,Young Adult
1145,0,3,0,24.0,0,0,9.325,S,1,9,0-10,Young Adult
1146,0,3,0,32.5,0,0,9.5,S,1,10,0-10,Adult
1147,0,3,0,27.0,0,0,7.55,S,1,8,0-10,Young Adult
1148,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1149,0,3,0,28.0,0,0,8.05,S,1,8,0-10,Young Adult
1150,1,2,1,19.0,0,0,13.0,S,1,13,10-20,Young Adult
1151,0,3,0,21.0,0,0,7.775,S,1,8,0-10,Young Adult
1152,0,3,0,36.5,1,0,17.4,S,2,17,10-20,Adult
1153,0,3,0,21.0,0,0,7.8542,S,1,8,0-10,Young Adult
1154,1,2,1,29.0,0,2,23.0,S,3,23,20-30,Young Adult
1155,1,3,1,1.0,1,1,12.1833,S,3,12,10-20,Child
1156,0,2,0,30.0,0,0,12.7375,C,1,13,10-20,Young Adult
1157,0,3,0,27.0,0,0,7.8958,S,1,8,0-10,Young Adult
1158,0,1,0,27.0,0,0,0.0,S,1,0,,Young Adult
1159,0,3,0,27.0,0,0,7.55,S,1,8,0-10,Young Adult
1160,1,3,1,27.0,0,0,8.05,S,1,8,0-10,Young Adult
1161,0,3,0,17.0,0,0,8.6625,S,1,9,0-10,Teenager
1162,0,1,0,46.0,0,0,75.2417,C,1,75,50-100,Adult
1163,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1164,1,1,1,26.0,1,0,136.7792,C,2,137,>100,Young Adult
1165,1,3,1,27.0,1,0,15.5,Q,2,16,10-20,Young Adult
1166,0,3,0,27.0,0,0,7.225,C,1,7,0-10,Young Adult
1167,1,2,1,20.0,1,0,26.0,S,2,26,20-30,Young Adult
1168,0,2,0,28.0,0,0,10.5,S,1,10,0-10,Young Adult
1169,0,2,0,40.0,1,0,26.0,S,2,26,20-30,Adult
1170,0,2,0,30.0,1,0,21.0,S,2,21,20-30,Young Adult
1171,0,2,0,22.0,0,0,10.5,S,1,10,0-10,Young Adult
1172,1,3,1,23.0,0,0,8.6625,S,1,9,0-10,Young Adult
1173,0,3,0,0.75,1,1,13.775,S,3,14,10-20,Child
1174,1,3,1,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1175,1,3,1,9.0,1,1,15.2458,C,3,15,10-20,Child
1176,1,3,1,2.0,1,1,20.2125,S,3,20,10-20,Child
1177,0,3,0,36.0,0,0,7.25,S,1,7,0-10,Adult
1178,0,3,0,27.0,0,0,7.25,S,1,7,0-10,Young Adult
1179,0,1,0,24.0,1,0,82.2667,S,2,82,50-100,Young Adult
1180,0,3,0,27.0,0,0,7.2292,C,1,7,0-10,Young Adult
1181,0,3,0,27.0,0,0,8.05,S,1,8,0-10,Young Adult
1182,0,1,0,27.0,0,0,39.6,S,1,40,30-40,Young Adult
1183,1,3,1,30.0,0,0,6.95,Q,1,7,0-10,Young Adult
1184,0,3,0,27.0,0,0,7.2292,C,1,7,0-10,Young Adult
1185,0,1,0,53.0,1,1,81.8583,S,3,82,50-100,Senior
1186,0,3,0,36.0,0,0,9.5,S,1,10,0-10,Adult
1187,0,3,0,26.0,0,0,7.8958,S,1,8,0-10,Young Adult
1188,1,2,1,1.0,1,2,41.5792,C,4,42,40-50,Child
1189,0,3,0,27.0,2,0,21.6792,C,3,22,20-30,Young Adult
1190,0,1,0,30.0,0,0,45.5,S,1,46,40-50,Young Adult
1191,0,3,0,29.0,0,0,7.8542,S,1,8,0-10,Young Adult
1192,0,3,0,32.0,0,0,7.775,S,1,8,0-10,Adult
1193,0,2,0,27.0,0,0,15.0458,C,1,15,10-20,Young Adult
1194,0,2,0,43.0,0,1,21.0,S,2,21,20-30,Adult
1195,0,3,0,24.0,0,0,8.6625,S,1,9,0-10,Young Adult
1196,1,3,1,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1197,1,1,1,64.0,1,1,26.55,S,3,27,20-30,Senior
1198,0,1,0,30.0,1,2,151.55,S,4,152,>100,Young Adult
1199,0,3,0,0.83,0,1,9.35,S,2,9,0-10,Child
1200,0,1,0,55.0,1,1,93.5,S,3,94,50-100,Senior
1201,1,3,1,45.0,1,0,14.1083,S,2,14,10-20,Adult
1202,0,3,0,18.0,0,0,8.6625,S,1,9,0-10,Teenager
1203,0,3,0,22.0,0,0,7.225,C,1,7,0-10,Young Adult
1204,0,3,0,27.0,0,0,7.575,S,1,8,0-10,Young Adult
1205,1,3,1,37.0,0,0,7.75,Q,1,8,0-10,Adult
1206,1,1,1,55.0,0,0,135.6333,C,1,136,>100,Senior
1207,1,3,1,17.0,0,0,7.7333,Q,1,8,0-10,Teenager
1208,0,1,0,57.0,1,0,146.5208,C,2,147,>100,Senior
1209,0,2,0,19.0,0,0,10.5,S,1,10,0-10,Young Adult
1210,0,3,0,27.0,0,0,7.8542,S,1,8,0-10,Young Adult
1211,0,2,0,22.0,2,0,31.5,S,3,32,30-40,Young Adult
1212,0,3,0,26.0,0,0,7.775,S,1,8,0-10,Young Adult
1213,0,3,0,25.0,0,0,7.2292,C,1,7,0-10,Young Adult
1214,0,2,0,26.0,0,0,13.0,S,1,13,10-20,Young Adult
1215,0,1,0,33.0,0,0,26.55,S,1,27,20-30,Adult
1216,1,1,1,39.0,0,0,211.3375,S,1,211,>100,Adult
1217,0,3,0,23.0,0,0,7.05,S,1,7,0-10,Young Adult
1218,1,2,1,12.0,2,1,39.0,S,4,39,30-40,Child
1219,0,1,0,46.0,0,0,79.2,C,1,79,50-100,Adult
1220,0,2,0,29.0,1,0,26.0,S,2,26,20-30,Young Adult
1221,0,2,0,21.0,0,0,13.0,S,1,13,10-20,Young Adult
1222,1,2,1,48.0,0,2,36.75,S,3,37,30-40,Adult
1223,0,1,0,39.0,0,0,29.7,C,1,30,20-30,Adult
1224,0,3,0,27.0,0,0,7.225,C,1,7,0-10,Young Adult
1225,1,3,1,19.0,1,1,15.7417,C,3,16,10-20,Young Adult
1226,0,3,0,27.0,0,0,7.8958,S,1,8,0-10,Young Adult
1227,0,1,0,30.0,0,0,26.0,S,1,26,20-30,Young Adult
1228,0,2,0,32.0,0,0,13.0,S,1,13,10-20,Adult
1229,0,3,0,39.0,0,2,7.2292,C,3,7,0-10,Adult
1230,0,2,0,25.0,0,0,31.5,S,1,32,30-40,Young Adult
1231,0,3,0,27.0,0,0,7.2292,C,1,7,0-10,Young Adult
1232,0,2,0,18.0,0,0,10.5,S,1,10,0-10,Teenager
1233,0,3,0,32.0,0,0,7.5792,S,1,8,0-10,Adult
1234,0,3,0,27.0,1,9,69.55,S,11,70,50-100,Young Adult
1235,1,1,1,58.0,0,1,512.3292,C,2,512,>100,Senior
1236,0,3,0,27.0,1,1,14.5,S,3,14,10-20,Young Adult
1237,1,3,1,16.0,0,0,7.65,S,1,8,0-10,Teenager
1238,0,2,0,26.0,0,0,13.0,S,1,13,10-20,Young Adult
1239,1,3,1,38.0,0,0,7.2292,C,1,7,0-10,Adult
1240,0,2,0,24.0,0,0,13.5,S,1,14,10-20,Young Adult
1241,1,2,1,31.0,0,0,21.0,S,1,21,20-30,Adult
1242,1,1,1,45.0,0,1,63.3583,C,2,63,50-100,Adult
1243,0,2,0,25.0,0,0,10.5,S,1,10,0-10,Young Adult
1244,0,2,0,18.0,0,0,73.5,S,1,74,50-100,Teenager
1245,0,2,0,49.0,1,2,65.0,S,4,65,50-100,Adult
1246,1,3,1,0.17,1,2,20.575,S,4,21,20-30,Child
1247,0,1,0,50.0,0,0,26.0,S,1,26,20-30,Adult
1248,1,1,1,59.0,2,0,51.4792,S,3,51,50-100,Senior
1249,0,3,0,27.0,0,0,7.8792,S,1,8,0-10,Young Adult
1250,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1251,1,3,1,30.0,1,0,15.55,S,2,16,10-20,Young Adult
1252,0,3,0,14.5,8,2,69.55,S,11,70,50-100,Teenager
1253,1,2,1,24.0,1,1,37.0042,C,3,37,30-40,Young Adult
1254,1,2,1,31.0,0,0,21.0,S,1,21,20-30,Adult
1255,0,3,0,27.0,0,0,8.6625,S,1,9,0-10,Young Adult
1256,1,1,1,25.0,1,0,55.4417,C,2,55,50-100,Young Adult
1257,1,3,1,27.0,1,9,69.55,S,11,70,50-100,Young Adult
1258,0,3,0,27.0,1,0,14.4583,C,2,14,10-20,Young Adult
1259,1,3,1,22.0,0,0,39.6875,S,1,40,30-40,Young Adult
1260,1,1,1,45.0,0,1,59.4,C,2,59,50-100,Adult
1261,0,2,0,29.0,0,0,13.8583,C,1,14,10-20,Young Adult
1262,0,2,0,21.0,1,0,11.5,S,2,12,10-20,Young Adult
1263,1,1,1,31.0,0,0,134.5,C,1,134,>100,Adult
1264,0,1,0,49.0,0,0,0.0,S,1,0,,Adult
1265,0,2,0,44.0,0,0,13.0,S,1,13,10-20,Adult
1266,1,1,1,54.0,1,1,81.8583,S,3,82,50-100,Senior
1267,1,1,1,45.0,0,0,262.375,C,1,262,>100,Adult
1268,1,3,1,22.0,2,0,8.6625,S,3,9,0-10,Young Adult
1269,0,2,0,21.0,0,0,11.5,S,1,12,10-20,Young Adult
1270,0,1,0,55.0,0,0,50.0,S,1,50,40-50,Senior
1271,0,3,0,5.0,4,2,31.3875,S,7,31,30-40,Child
1272,0,3,0,27.0,0,0,7.75,Q,1,8,0-10,Young Adult
1273,0,3,0,26.0,0,0,7.8792,Q,1,8,0-10,Young Adult
